,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
348,Arlit,NE,18.7369,7.3853,82.8,13,0,9.37,clear sky
349,Labateca,CO,7.2985,-72.4944,74.62,82,68,3.51,broken clouds
350,Carrigaline,IE,51.8117,-8.3986,51.01,81,20,13.8,few clouds
351,Ust-Kuyga,RU,70.0167,135.6,-11.92,100,98,4.99,overcast clouds
352,Ayan,RU,56.45,138.1667,17.1,59,45,17.98,scattered clouds
353,Tamandare,BR,-8.7597,-35.1047,79.3,84,5,11.63,clear sky
354,Saint-Denis,FR,48.9167,2.3333,47.1,85,0,1.01,clear sky
355,San Jose,US,37.3394,-121.895,68.43,62,75,3.0,broken clouds
356,Kununurra,AU,-15.7667,128.7333,75.18,100,68,8.05,heavy intensity rain
357,Ibiapina,BR,-3.9233,-40.8894,75.69,61,89,9.57,overcast clouds
358,Kloulklubed,PW,7.0419,134.2556,77.5,72,83,11.41,broken clouds
359,Rawson,AR,-43.3002,-65.1023,72.48,24,4,33.55,clear sky
360,Port Hardy,CA,50.6996,-127.4199,42.8,93,75,4.61,broken clouds
361,Rorvik,NO,64.8621,11.2373,43.05,68,61,11.23,broken clouds
362,Bose,IT,45.4612,8.0137,44.29,62,1,2.35,clear sky
363,Fuerte Olimpo,PY,-21.0415,-57.8738,65.77,76,100,6.55,overcast clouds
364,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,61.36,89,100,6.31,overcast clouds
365,Kruisfontein,ZA,-34.0033,24.7314,59.88,79,100,6.11,overcast clouds
366,Bure,ET,10.7,37.0667,55.51,88,73,4.83,light rain
367,Praya,CV,14.9215,-23.5087,77.54,83,20,14.97,few clouds
368,Kamaishi,JP,39.2667,141.8833,51.39,83,5,5.14,clear sky
369,Abha,SA,18.2164,42.5053,57.45,88,0,6.91,clear sky
370,Deputatskiy,RU,69.3,139.9,-2.16,88,100,8.84,overcast clouds
371,Santiago De Compostela,ES,42.8805,-8.5457,51.15,84,0,4.61,clear sky
372,Port Keats,AU,-14.25,129.55,83.55,76,98,3.31,overcast clouds
373,Guantanamo,CU,20.1444,-75.2092,84.27,76,90,4.72,overcast clouds
374,Catamarca,AR,-28.4696,-65.7852,75.78,54,2,5.01,clear sky
375,Zemio,CF,5.0314,25.1361,69.71,92,74,2.15,broken clouds
376,Kongwa,TZ,-6.2,36.4167,70.3,55,75,4.54,broken clouds
377,Lima,PE,-12.0432,-77.0282,66.13,72,75,11.5,broken clouds
378,Changping,CN,40.2186,116.2197,26.24,85,100,10.96,snow
379,Pasni,PK,25.2631,63.471,76.41,61,0,4.61,clear sky
380,Ponta Delgada,PT,37.7333,-25.6667,70.5,83,20,20.71,few clouds
381,Nahan,IN,30.55,77.3,58.39,44,27,4.56,scattered clouds
382,Uray,RU,60.1247,64.7758,33.84,97,100,13.87,light rain
383,Manyana,BW,-23.4,21.7167,81.14,27,89,12.39,overcast clouds
384,Shitanjing,CN,39.2342,106.3439,12.27,53,22,18.05,few clouds
385,San Ramon,US,37.7799,-121.978,65.66,67,20,3.0,few clouds
386,Katherine,AU,-14.4667,132.2667,75.52,88,90,4.61,light rain
387,Zheleznodorozhnyy,RU,55.7503,38.0042,46.62,88,100,13.91,light rain
388,Balaipungut,ID,1.05,101.2833,75.61,96,100,2.89,overcast clouds
389,Tuatapere,NZ,-46.1333,167.6833,62.15,54,98,0.87,overcast clouds
390,Blytheville,US,35.9273,-89.919,63.05,41,1,3.44,clear sky
391,Ikot Ekpene,NG,5.1794,7.7108,74.5,95,100,4.56,overcast clouds
392,Dakoro,NE,14.5106,6.765,82.74,12,72,9.75,broken clouds
393,Vadlapudi,IN,14.3167,79.8,73.02,97,100,11.52,moderate rain
394,Fuyang,CN,32.9,115.8167,46.15,86,100,25.88,moderate rain
395,Catuday,PH,16.2923,119.8062,80.92,78,98,9.19,overcast clouds
396,Flinders,AU,-34.5833,150.8552,67.21,71,77,2.46,light rain
397,Trairi,BR,-3.2778,-39.2689,80.33,79,59,10.58,broken clouds
398,Kukmor,RU,56.1855,50.8944,42.1,89,100,17.38,overcast clouds
399,Saint George,US,37.1041,-113.5841,80.64,25,1,1.99,clear sky
400,Sibu,MY,2.3,111.8167,75.51,100,40,3.0,light rain
401,Khudumelapye,BW,-23.8833,24.75,76.41,44,99,9.24,light rain
402,Sarishabari,BD,24.7333,89.8333,70.21,77,5,7.92,clear sky
403,Sinnamary,GF,5.3833,-52.95,79.23,85,100,7.38,moderate rain
404,Puerto Escondido,MX,15.85,-97.0667,83.89,67,42,5.12,scattered clouds
405,Margate,GB,51.3813,1.3862,55.11,80,98,1.99,overcast clouds
406,Tchollire,CM,8.4022,14.1698,78.26,63,28,2.95,scattered clouds
407,Kavaratti,IN,10.5669,72.642,81.66,73,4,13.09,clear sky
408,Masaki,JP,33.7876,132.7112,55.31,79,20,2.3,few clouds
409,Moose Factory,CA,51.2585,-80.6094,48.2,71,1,10.36,clear sky
410,Aksarka,RU,66.5606,67.7975,34.18,98,100,16.4,overcast clouds
411,Orlik,RU,52.5178,99.825,7.9,88,100,2.77,overcast clouds
412,Meadow Lake,US,34.8014,-106.5436,76.57,16,2,4.61,clear sky
413,Nuuk,GL,64.1835,-51.7216,30.81,69,75,5.75,broken clouds
414,Tabuk,PH,17.4189,121.4443,73.17,94,76,3.09,broken clouds
415,Tucurui,BR,-3.7661,-49.6725,78.53,85,98,3.04,overcast clouds
416,Kavieng,PG,-2.5744,150.7967,84.25,73,66,16.71,moderate rain
417,Okakarara,NA,-20.5833,17.4333,78.55,18,100,10.92,overcast clouds
418,Moroni,KM,-11.7022,43.2551,78.46,81,100,2.95,overcast clouds
419,Lasem,ID,-6.6922,111.4527,79.95,82,95,0.34,overcast clouds
420,Smithers,CA,54.7804,-127.1743,35.92,75,40,3.44,scattered clouds
421,Lorengau,PG,-2.0226,147.2712,83.52,76,42,9.73,scattered clouds
422,Baruun-Urt,MN,46.6806,113.2792,9.54,47,64,9.53,broken clouds
423,Talcahuano,CL,-36.7167,-73.1167,58.68,72,75,8.05,broken clouds
424,Berbera,SO,10.4396,45.0143,80.51,63,36,4.65,scattered clouds
425,Kendari,ID,-3.945,122.4989,75.7,93,97,3.13,overcast clouds
426,Herat,AF,34.5,62.0,37.31,32,100,9.4,light rain
427,Juneau,US,58.3019,-134.4197,46.22,93,75,4.61,light rain
428,Green River,US,41.5286,-109.4662,63.16,22,81,7.9,broken clouds
429,Gemena,CD,3.25,19.7667,70.9,98,100,2.24,overcast clouds
430,Batalha,BR,-9.6778,-37.1247,79.92,72,67,8.28,heavy intensity rain
431,Mandalgovi,MN,45.7625,106.2708,9.93,64,0,7.92,clear sky
432,Baykit,RU,61.67,96.37,15.87,98,100,3.87,overcast clouds
433,Katsuura,JP,35.1333,140.3,59.11,83,100,7.81,moderate rain
434,Ous,RU,60.9058,61.5186,35.96,85,100,11.18,overcast clouds
435,Nurota,UZ,40.5614,65.6886,30.29,43,0,2.93,clear sky
436,Ostrovnoy,RU,68.0531,39.5131,34.77,99,100,20.29,light rain
437,Kirakira,SB,-10.4544,161.9205,82.76,76,19,5.73,few clouds
438,Hiriyur,IN,13.9456,76.6192,69.42,87,47,3.2,scattered clouds
439,Maple Creek,CA,49.9168,-109.4848,53.37,29,12,5.75,few clouds
440,Rakitnoye,RU,50.8389,35.8515,41.25,81,31,10.25,scattered clouds
441,Nkowakowa,ZA,-23.8878,30.2871,69.85,75,55,1.99,light rain
442,Disna,BY,55.568,28.1971,42.62,86,91,9.75,overcast clouds
443,Pandan,PH,14.0453,124.1694,80.19,87,100,10.67,overcast clouds
444,Saint-Louis,SN,16.3333,-15.0,91.04,16,5,10.92,clear sky
445,Leningradskiy,RU,69.3833,178.4167,-9.11,89,8,5.26,clear sky
446,Dalbandin,PK,28.8947,64.4101,59.83,28,41,7.81,scattered clouds
447,Rochegda,RU,62.8,43.25,37.92,97,100,6.35,overcast clouds
448,Bontang,ID,0.1333,117.5,78.85,83,98,3.13,overcast clouds
449,Beipiao,CN,41.7919,120.7792,19.38,92,100,17.94,light snow
450,Port Lincoln,AU,-34.7333,135.8667,55.62,61,100,6.89,overcast clouds
451,Sarankhola,BD,22.3082,89.7897,63.32,70,6,4.29,clear sky
452,Kalamnuri,IN,19.6667,77.3333,65.82,66,5,4.85,clear sky
453,Nara,JP,34.6851,135.8049,60.08,71,85,4.74,overcast clouds
454,Santa Ana,US,33.7456,-117.8678,85.48,67,20,1.99,haze
455,Yining,CN,29.0361,114.5636,59.29,92,79,11.03,broken clouds
456,Fortuna,US,40.5982,-124.1573,59.99,70,1,1.99,clear sky
457,Faya,SA,18.3851,42.4509,57.72,54,0,2.44,clear sky
458,Qui Nhon,VN,13.7667,109.2333,74.48,90,82,6.44,broken clouds
459,Chumikan,RU,54.7183,135.315,18.36,53,1,24.47,clear sky
460,Korem,ET,12.5058,39.5228,52.61,50,11,2.37,few clouds
461,Sokolka,PL,53.4072,23.5023,44.65,82,100,13.96,overcast clouds
462,Ketchikan,US,55.3422,-131.6461,43.27,87,90,3.44,light rain
463,Marawi,PH,7.9986,124.2928,67.64,93,83,1.92,broken clouds
464,Argayash,RU,55.4888,60.8767,40.69,42,99,13.13,overcast clouds
465,Lodja,CD,-3.4833,23.4333,68.05,99,100,1.97,moderate rain
466,Zonguldak,TR,41.25,31.8333,54.3,62,100,1.45,overcast clouds
467,Dunmore Town,BS,25.5,-76.65,78.4,84,100,21.77,light rain
468,Virginia Beach,US,36.8529,-75.978,60.85,73,90,19.57,overcast clouds
469,Terney,RU,45.0503,136.6092,32.83,43,100,9.26,overcast clouds
470,Umm Kaddadah,SD,13.6017,26.6876,81.97,23,4,13.51,clear sky
471,Minna,NG,9.6139,6.5569,78.26,50,43,2.62,scattered clouds
472,Ejea De Los Caballeros,ES,42.1263,-1.1372,46.62,69,0,16.55,clear sky
473,Sisimiut,GL,66.9395,-53.6735,20.23,74,22,11.63,few clouds
474,Kilindoni,TZ,-7.9139,39.6668,79.86,77,80,11.48,broken clouds
475,Beihai,CN,21.4833,109.1,76.42,88,7,8.21,clear sky
476,Salamiyah,SY,35.0113,37.0532,64.67,40,0,3.6,clear sky
477,Hanmer Springs,NZ,-42.5167,172.8167,69.22,50,1,2.82,clear sky
478,Garbolovo,RU,60.3413,30.4955,40.17,88,50,8.19,scattered clouds
479,Kisangani,CD,0.5167,25.2,71.47,94,99,1.83,light rain
480,Cairns,AU,-16.9167,145.7667,82.35,72,82,6.91,broken clouds
481,Cotonou,BJ,6.3654,2.4183,80.58,89,20,5.75,few clouds
482,Pitimbu,BR,-7.4706,-34.8086,81.19,82,9,13.67,clear sky
483,Uchaly,RU,54.2996,59.4521,35.33,25,100,21.18,overcast clouds
484,Byron Bay,AU,-28.65,153.6167,76.05,70,95,6.6,overcast clouds
485,Utica,US,43.1009,-75.2327,51.91,69,2,4.45,clear sky
486,Mattru,SL,7.6244,-11.8332,74.86,95,89,0.85,overcast clouds
487,Los Chiles,CR,11.0333,-84.7167,78.21,93,100,4.81,overcast clouds
488,At-Bashi,KG,41.1702,75.8106,13.77,65,0,5.01,clear sky
489,Changji,CN,44.0167,87.3167,18.39,73,0,4.47,clear sky
490,Dargaville,NZ,-35.9333,173.8833,68.63,64,3,2.62,clear sky
491,Paithan,IN,19.4833,75.3833,67.87,64,10,7.72,clear sky
492,Ongandjera,NA,-17.8833,15.0667,79.05,44,96,13.47,light rain
493,Navoi,UZ,40.0844,65.3792,31.48,59,0,4.61,smoke
494,Mongu,ZM,-15.2484,23.1274,80.91,26,63,1.16,broken clouds
495,Ola,RU,59.5833,151.2833,34.14,91,100,25.5,overcast clouds
496,Olenegorsk,RU,68.15,33.3,29.57,90,100,15.59,light snow
497,Pointe-Noire,CG,-4.7761,11.8635,77.27,87,100,3.13,overcast clouds
498,Kazerun,IR,29.6195,51.6541,61.68,63,0,1.34,clear sky
499,Mao,ES,39.8885,4.2658,57.76,77,75,33.38,broken clouds
500,Kawambwa,ZM,-9.7915,29.0791,70.54,43,94,4.54,overcast clouds
501,Serik,TR,36.9169,31.0989,59.25,37,4,7.36,clear sky
502,Kangaatsiaq,GL,68.3065,-53.4641,29.28,70,100,7.72,overcast clouds
503,Acapulco,MX,16.8634,-99.8901,84.0,72,91,5.84,overcast clouds
504,Thunder Bay,CA,48.4001,-89.3168,56.98,68,75,4.61,broken clouds
505,Hanyang,CN,32.1371,105.5126,36.86,37,100,26.08,light rain
506,Devils Lake,US,48.1128,-98.8651,60.91,43,1,3.0,clear sky
507,Alofi,NU,-19.0595,-169.9187,76.89,88,28,11.5,scattered clouds
508,Khandyga,RU,62.6667,135.6,-13.81,100,96,2.01,overcast clouds
509,Maumere,ID,-8.6199,122.2111,81.23,79,100,2.01,overcast clouds
510,Apsheronsk,RU,44.46,39.73,52.39,88,83,2.95,broken clouds
511,Hobyo,SO,5.3505,48.5268,79.95,69,64,7.23,broken clouds
512,Oleksandrivka,UA,48.9634,32.2349,42.4,74,0,7.11,clear sky
513,Esso,RU,55.9333,158.7,9.27,99,76,4.09,broken clouds
514,Lianyuan,CN,27.6883,111.6642,58.53,87,100,9.66,overcast clouds
515,Hualmay,PE,-11.0964,-77.6139,67.95,76,34,11.18,scattered clouds
516,Anchorage,US,61.2181,-149.9003,33.94,91,90,1.01,light snow
517,Mattoon,US,39.4831,-88.3728,57.42,35,1,6.91,clear sky
518,Saint-Joseph,RE,-21.3667,55.6167,71.2,83,19,9.48,few clouds
519,Altay,CN,47.8667,88.1167,12.52,58,73,6.44,broken clouds
520,Namibe,AO,-15.1961,12.1522,70.36,81,86,5.23,overcast clouds
521,Maniitsoq,GL,65.4167,-52.9,26.6,69,97,11.92,overcast clouds
522,Moyale,KE,3.5167,39.0584,72.01,65,95,6.35,overcast clouds
523,Contai,IN,21.7786,87.7536,66.22,67,5,6.29,clear sky
524,Kayan,MM,16.9056,96.5631,78.94,92,31,5.03,scattered clouds
525,Rudnogorsk,RU,57.2639,103.7519,21.24,94,100,7.76,overcast clouds
526,Taksimo,RU,56.3444,114.8794,8.8,88,100,0.4,overcast clouds
527,Shenjiamen,CN,29.9576,122.298,68.0,85,100,13.53,overcast clouds
528,Chihuahua,MX,28.5,-106.0,72.28,19,0,5.28,clear sky
529,Castletown,IE,53.0281,-9.0686,48.69,68,100,15.52,overcast clouds
530,Miles City,US,46.4083,-105.8406,65.37,25,1,10.36,clear sky
531,Ugoofaaru,MV,5.6667,73.0,81.25,79,91,15.84,overcast clouds
532,Sterling,US,39.0062,-77.4286,54.59,55,75,8.01,broken clouds
533,Cabedelo,BR,-6.9811,-34.8339,81.27,81,2,13.73,clear sky
534,Vrangel,RU,42.7297,133.0839,42.08,70,95,8.72,overcast clouds
535,Vilhena,BR,-12.7406,-60.1458,77.22,83,75,9.22,broken clouds
536,Wangkui,CN,46.8333,126.5,19.49,38,100,3.87,overcast clouds
537,Santo Antonio Do Sudoeste,BR,-26.0736,-53.7253,69.78,94,86,6.93,overcast clouds
538,Palembang,ID,-2.9167,104.7458,74.5,96,100,1.7,light rain
539,Japura,ID,-0.3167,102.35,73.78,96,100,1.97,overcast clouds
540,Grevesmuhlen,DE,53.8667,11.1833,50.11,88,100,21.85,overcast clouds
541,Dunedin,NZ,-45.8742,170.5036,52.81,83,19,5.99,few clouds
542,Apatity,RU,67.5641,33.4031,30.52,90,100,9.06,light snow
543,Caravelas,BR,-17.7125,-39.2481,73.54,77,89,6.2,overcast clouds
544,Tecoanapa,MX,16.5167,-98.75,83.44,69,82,6.13,broken clouds
545,Diego De Almagro,CL,-26.3667,-70.05,73.47,18,0,9.06,clear sky
546,Waingapu,ID,-9.6567,120.2641,81.34,82,94,2.77,overcast clouds
547,Bilma,NE,18.6853,12.9164,78.42,15,39,4.59,scattered clouds
548,Marquard,ZA,-28.6645,27.4305,63.28,46,96,4.36,overcast clouds
549,Tucuman,AR,-26.8241,-65.2226,68.0,52,90,5.75,overcast clouds
550,Cap Malheureux,MU,-19.9842,57.6142,74.46,79,53,1.99,broken clouds
551,Asyut,EG,27.181,31.1837,69.98,46,0,3.62,clear sky
552,Vikhorevka,RU,56.1201,101.1636,26.19,88,100,10.58,overcast clouds
553,Yumen,CN,40.2833,97.2,9.39,46,0,3.71,clear sky
554,Wallacetown,NZ,-46.3333,168.2667,62.2,63,86,2.21,overcast clouds
555,Kailua,US,21.4022,-157.7394,85.98,72,75,13.8,broken clouds
556,Koslan,RU,63.4564,48.8989,36.52,98,100,6.82,overcast clouds
557,Ascoli Piceno,IT,42.8548,13.5749,56.93,93,100,1.59,light rain
558,Coahuayana,MX,18.7333,-103.6833,86.04,66,100,5.86,overcast clouds
559,La Asuncion,VE,11.0333,-63.8628,79.93,84,72,15.73,broken clouds
560,Yatou,CN,37.15,122.3833,56.39,74,50,7.11,scattered clouds
561,Belmonte,BR,-15.8631,-38.8828,77.5,87,100,8.66,overcast clouds
562,Abu Dhabi,AE,24.4667,54.3667,78.91,53,0,2.3,clear sky
563,Griffith,US,41.5284,-87.4237,60.04,51,1,5.01,clear sky
564,Souillac,MU,-20.5167,57.5167,74.35,94,40,4.61,scattered clouds
565,Fremont,US,37.5483,-121.9886,67.84,66,20,3.0,few clouds
566,Laela,TZ,-8.5667,32.05,70.48,36,100,3.53,overcast clouds
567,Sakaiminato,JP,35.55,133.2333,48.18,100,40,6.91,scattered clouds
568,Monitos,CO,8.25,-76.05,81.59,86,82,6.24,broken clouds
569,Bonavista,CA,48.6499,-53.1147,42.12,65,10,17.18,clear sky
570,Marquette,US,46.5333,-87.6335,59.77,58,89,8.63,overcast clouds
571,Moctezuma,MX,29.8,-109.6667,88.77,15,0,5.53,clear sky
572,Sol-Iletsk,RU,51.1631,54.9918,33.55,30,100,15.39,overcast clouds
573,Kishtwar,IN,33.3167,75.7667,43.27,50,0,5.59,clear sky
574,Aquiraz,BR,-3.9014,-38.3911,82.49,79,70,10.94,broken clouds
575,Celendin,PE,-6.8703,-78.1517,61.32,68,87,4.47,light rain
576,Saint Anthony,US,45.0205,-93.218,68.32,37,1,3.0,clear sky
577,Krasnoselkup,RU,65.7,82.4667,32.32,98,100,22.03,light snow
578,Ciamis,ID,-7.3257,108.3534,73.81,96,100,1.1,overcast clouds
579,Simao,CN,22.7886,100.9748,56.52,97,84,1.54,broken clouds
580,Sayyan,YE,15.1718,44.3244,52.38,28,50,3.44,scattered clouds
581,Havelock,US,34.8791,-76.9013,60.8,92,90,4.0,overcast clouds
582,Barahona,DO,18.2085,-71.1008,87.62,70,20,11.5,few clouds
583,Ailigandi,PA,9.2333,-78.0167,82.08,79,60,4.32,broken clouds
584,Palasa,IN,18.7667,84.4167,69.94,77,44,4.85,scattered clouds
585,Rognan,NO,67.0953,15.3878,39.34,94,96,6.62,overcast clouds
586,Pringsewu,ID,-5.3582,104.9744,73.71,94,100,1.41,overcast clouds
587,Abu Kamal,SY,34.4506,40.9171,67.01,39,0,2.68,clear sky
588,Vila Velha,BR,-20.3297,-40.2925,75.15,79,90,8.01,overcast clouds
589,Riachao Das Neves,BR,-11.7461,-44.91,73.65,84,68,1.28,moderate rain
590,Tupik,RU,54.4253,119.9327,14.0,50,98,1.77,overcast clouds
591,Dzilam Gonzalez,MX,21.2833,-88.9333,78.85,57,5,7.76,clear sky
592,Rio Branco,BR,-9.9747,-67.81,90.21,58,40,5.75,scattered clouds
593,Birnin Kebbi,NG,12.4539,4.1975,81.95,17,50,7.34,scattered clouds
594,Steinbach,DE,50.1667,8.5667,46.0,95,75,1.01,broken clouds
595,Pisco,PE,-13.7,-76.2167,69.85,68,0,20.71,clear sky
596,Honiara,SB,-9.4333,159.95,84.2,71,1,5.88,clear sky
597,Yinchuan,CN,38.4681,106.2731,21.87,33,0,5.06,clear sky
598,Warri,NG,5.5167,5.75,76.41,92,100,4.76,overcast clouds
599,Spassk,RU,52.747,87.7545,18.36,89,97,0.76,overcast clouds
600,Ngunguru,NZ,-35.6167,174.5,72.16,77,35,5.97,scattered clouds
601,Izberbash,RU,42.5696,47.8645,46.45,72,0,15.99,clear sky
602,Silay,PH,10.798,122.9757,79.43,86,100,8.25,overcast clouds
603,Shingu,JP,33.7333,135.9833,60.48,83,98,15.95,overcast clouds
604,Shubarshi,KZ,48.5872,57.1869,29.39,22,18,9.04,few clouds
605,Black River,JM,18.0264,-77.8487,80.6,80,99,8.77,overcast clouds
606,Iquique,CL,-20.2208,-70.1431,66.24,72,16,7.72,few clouds
607,Alexandria,EG,31.2156,29.9553,71.56,73,0,6.91,clear sky
608,Xining,CN,36.6167,101.7667,10.56,87,88,2.91,overcast clouds
609,Luganville,VU,-15.5333,167.1667,80.62,79,95,5.86,overcast clouds
610,Okhotsk,RU,59.3833,143.3,14.4,94,100,23.24,snow
611,Alagoa Grande,BR,-7.1583,-35.63,75.97,78,32,10.56,scattered clouds
612,Little Current,CA,45.9793,-81.9248,50.09,66,99,17.29,overcast clouds
613,Surt,LY,31.2089,16.5887,75.45,36,98,15.55,overcast clouds
614,Yushala,RU,57.0761,64.2601,40.75,51,100,14.2,overcast clouds
615,Pangai,TO,-19.8,-174.35,82.51,69,40,11.5,scattered clouds
616,Ilo,PE,-17.6394,-71.3375,67.06,73,0,11.5,clear sky
617,Geraldton,AU,-28.7667,114.6,54.01,87,2,6.91,clear sky
618,Dauphin,CA,51.1494,-100.0502,55.54,38,75,11.5,broken clouds
619,Rangapara,IN,26.8167,92.65,61.41,83,74,3.98,broken clouds
620,Ostersund,SE,63.1792,14.6357,32.45,93,7,8.05,clear sky
621,El Tigre,VE,8.8875,-64.2454,82.9,56,100,11.48,overcast clouds
622,Vangaindrano,MG,-23.35,47.6,70.25,76,100,0.6,overcast clouds
623,Martyush,RU,56.4,61.8819,37.72,39,100,17.83,overcast clouds
624,Bac Lieu,VN,9.285,105.7244,78.51,88,87,7.36,overcast clouds
625,Austin,US,30.2672,-97.7431,71.83,52,1,1.99,clear sky
626,Nagua,DO,19.3832,-69.8474,86.45,70,40,6.91,scattered clouds
627,Pipar,IN,26.3856,73.5378,68.92,31,36,2.95,scattered clouds
628,Quesnel,CA,52.9999,-122.5029,43.3,65,20,6.91,few clouds
629,Santa Isabel,BR,-23.3156,-46.2214,76.3,84,41,4.63,scattered clouds
630,Kikwit,CD,-5.041,18.8162,69.98,96,100,0.92,overcast clouds
631,Motygino,RU,58.1831,94.7592,22.21,93,100,10.09,light snow
632,Kandrian,PG,-6.2167,149.55,82.56,70,16,3.58,few clouds
633,Oktyabrskoye,RU,43.0645,44.7417,42.94,100,16,2.24,fog
634,Batemans Bay,AU,-35.7167,150.1833,64.9,59,65,3.15,light rain
635,Varnavino,RU,57.4035,45.0916,40.69,83,59,11.12,broken clouds
636,Pemberton,CA,50.3164,-122.8027,44.29,86,98,0.47,overcast clouds
637,Gazanjyk,TM,39.2446,55.5154,40.59,31,92,9.42,overcast clouds
638,Agadez,NE,19.75,10.25,75.24,14,0,3.11,clear sky
639,Vernon,CA,50.2581,-119.2691,47.14,82,97,2.3,overcast clouds
640,Quatre Cocos,MU,-20.2078,57.7625,74.08,76,91,10.98,overcast clouds
641,Carmelo,UY,-33.9892,-58.2856,65.19,62,34,17.05,scattered clouds
642,Matamoros,MX,25.5333,-103.25,78.69,19,0,8.46,clear sky
643,Saquarema,BR,-22.92,-42.5103,73.44,78,69,3.6,broken clouds
644,Half Moon Bay,US,37.4636,-122.4286,67.77,73,40,1.01,scattered clouds
645,Pangody,RU,65.85,74.4859,33.42,98,100,18.79,overcast clouds
646,Pingyin,CN,36.2831,116.4453,33.98,96,100,25.99,snow
647,Kunigal,IN,13.0222,77.0267,65.97,92,61,0.96,broken clouds
648,Spasskoye,RU,44.6108,132.7969,26.49,41,99,7.29,light snow
649,Cortez,US,37.3489,-108.5859,69.67,21,1,12.66,clear sky
650,Shelburne,CA,44.0787,-80.2041,46.89,66,91,10.07,overcast clouds
651,Nchelenge,ZM,-9.3451,28.734,75.74,48,86,2.98,overcast clouds
652,Hambantota,LK,6.1241,81.1185,75.54,100,20,0.0,few clouds
653,Ishigaki,JP,24.3448,124.1572,73.53,88,20,5.75,few clouds
654,Chagoda,RU,59.164,35.3285,34.74,97,73,5.32,broken clouds
655,Matay,EG,28.419,30.7792,71.8,58,0,12.39,clear sky
656,Karasburg,NA,-28.0167,18.75,66.31,22,58,9.01,broken clouds
657,Dwarka,IN,22.2394,68.9678,78.22,49,28,11.27,scattered clouds
658,Aksu,CN,41.1231,80.2644,27.72,31,7,4.45,clear sky
659,Aripuana,BR,-9.1667,-60.6333,72.66,97,100,2.3,light rain
660,Pingyi,CN,35.5006,117.6308,58.33,92,99,8.97,moderate rain
661,Omboue,GA,-1.5746,9.2618,77.32,89,100,5.7,overcast clouds
662,Vostok,RU,46.4856,135.8833,13.03,91,100,1.92,overcast clouds
663,Mora,CM,11.0461,14.1401,81.3,30,13,3.31,few clouds
664,Outlook,CA,51.5001,-107.0513,51.49,47,1,10.69,clear sky
665,Rongcheng,CN,30.634,117.8517,62.11,96,92,1.97,light rain
666,Eenhana,NA,-17.4667,16.3333,72.7,60,100,9.08,light rain
667,Porbandar,IN,21.6422,69.6093,77.54,36,93,9.71,overcast clouds
668,Campohermoso,ES,36.9357,-2.1337,53.11,50,8,6.4,clear sky
669,Port Blair,IN,11.6667,92.75,80.4,81,100,7.25,overcast clouds
670,Kabompo,ZM,-13.5927,24.2008,69.57,33,26,2.59,scattered clouds
671,Champerico,GT,14.3,-91.9167,83.35,72,25,7.36,scattered clouds
672,Eina,NO,60.6295,10.5993,33.15,86,100,2.24,light snow
673,Tulum,MX,20.2167,-87.4667,83.93,63,71,7.52,broken clouds
674,Kommunar,RU,59.6206,30.39,40.51,84,78,9.93,broken clouds
675,Navirai,BR,-23.065,-54.1906,73.72,89,26,6.31,scattered clouds
676,Mishan,CN,45.55,131.8833,24.44,38,100,3.22,overcast clouds
677,Burnie,AU,-41.0667,145.9167,55.58,52,0,9.66,clear sky
678,Mineros,BO,-17.1167,-63.2333,76.59,50,100,8.77,overcast clouds
679,Naryan-Mar,RU,67.6713,53.087,32.23,99,100,7.02,light snow
680,Bakchar,RU,57.0186,82.0711,32.0,95,100,14.23,overcast clouds
