City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Avera,US,2021-11-06 03:19:55,33.194,-82.5271,48.07,46,100,10.65
67,Punta Arenas,CL,2021-11-06 03:16:15,-53.15,-70.9167,48.31,71,75,10.36
68,Odweyne,SO,2021-11-06 03:19:56,9.4092,45.064,66.27,25,6,7.83
69,Rio Do Sul,BR,2021-11-06 03:19:57,-27.2142,-49.6431,68.74,91,100,2.28
70,Georgetown,MY,2021-11-06 03:15:13,5.4112,100.3354,87.75,73,20,4.61
71,High Level,CA,2021-11-06 03:19:57,58.5169,-117.136,33.91,100,90,5.75
72,Ailigandi,PA,2021-11-06 03:19:58,9.2333,-78.0167,79.36,84,23,4.5
73,Salalah,OM,2021-11-06 03:19:58,17.0151,54.0924,75.31,69,88,1.25
74,Bethel,US,2021-11-06 03:19:59,41.3712,-73.414,44.01,78,1,0.0
75,Zhireken,RU,2021-11-06 03:20:00,52.8249,117.3076,13.93,38,9,10.09
76,Labuhan,ID,2021-11-06 03:20:00,-6.8844,112.2051,88.16,63,89,7.47
77,La Ronge,CA,2021-11-06 03:20:01,55.1001,-105.2842,35.85,87,90,3.44
78,Pacific Grove,US,2021-11-06 03:20:02,36.6177,-121.9166,58.68,87,1,4.0
79,Faanui,PF,2021-11-06 03:20:03,-16.4833,-151.75,79.03,75,75,6.62
80,Butaritari,KI,2021-11-06 03:20:04,3.0707,172.7902,82.38,71,61,12.59
81,Patitirion,GR,2021-11-06 03:18:10,39.15,23.8667,65.03,87,99,4.47
82,Manaure,CO,2021-11-06 03:16:07,11.7751,-72.4445,80.85,77,89,12.19
83,Longyearbyen,SJ,2021-11-06 03:20:05,78.2186,15.6401,17.44,62,20,10.36
84,Tiksi,RU,2021-11-06 03:20:06,71.6872,128.8694,4.75,81,100,19.62
85,Atambua,ID,2021-11-06 03:20:07,-9.1061,124.8925,88.54,53,76,4.54
86,Camacha,PT,2021-11-06 03:20:07,33.0833,-16.3333,63.82,55,75,10.36
87,Bengkulu,ID,2021-11-06 03:20:07,-3.8004,102.2655,77.5,84,100,7.56
88,New Norfolk,AU,2021-11-06 03:20:08,-42.7826,147.0587,77.67,33,100,5.84
89,Castro,BR,2021-11-06 03:20:08,-24.7911,-50.0119,62.29,91,94,1.95
90,Kangaatsiaq,GL,2021-11-06 03:21:09,68.3065,-53.4641,19.8,62,20,7.94
91,San Antonio,US,2021-11-06 03:21:09,29.4241,-98.4936,54.36,82,1,0.0
92,Samarai,PG,2021-11-06 03:21:10,-10.6167,150.6667,84.88,69,29,14.85
93,Lumut,MY,2021-11-06 03:21:10,4.2323,100.6298,87.82,74,20,3.44
94,Albany,US,2021-11-06 03:17:56,42.6001,-73.9662,35.53,85,0,3.87
95,Kodiak,US,2021-11-06 03:19:58,57.79,-152.4072,34.75,80,99,7.0
96,Estevan,CA,2021-11-06 03:21:11,49.1334,-102.9842,46.74,65,1,8.05
97,Lebu,CL,2021-11-06 03:21:12,-37.6167,-73.65,51.94,91,1,15.43
98,Jibuti,DJ,2021-11-06 03:18:54,11.5,42.5,72.82,70,16,9.01
99,Okha,RU,2021-11-06 03:21:13,53.5739,142.9478,41.52,82,87,21.63
100,Tuatapere,NZ,2021-11-06 03:21:13,-46.1333,167.6833,67.82,47,84,4.7
101,Two Rivers,US,2021-11-06 03:21:14,44.1539,-87.5693,46.02,59,1,4.0
102,Athabasca,CA,2021-11-06 03:21:14,54.7169,-113.2854,37.81,93,67,1.39
103,Namibe,AO,2021-11-06 03:21:15,-15.1961,12.1522,65.28,87,94,1.1
104,Roebourne,AU,2021-11-06 03:21:15,-20.7833,117.1333,92.64,30,19,7.07
105,Eregli,TR,2021-11-06 03:21:16,37.5133,34.0467,48.94,66,2,1.01
106,Ancud,CL,2021-11-06 03:21:16,-41.8697,-73.8203,49.53,83,3,2.77
107,Ayan,RU,2021-11-06 03:21:17,56.45,138.1667,22.62,89,100,18.59
108,Huicheng,CN,2021-11-06 03:21:17,23.0385,116.2899,82.35,66,2,4.43
109,Bansi,IN,2021-11-06 03:21:18,27.1833,82.9333,68.9,55,99,4.72
110,De Aar,ZA,2021-11-06 03:21:18,-30.6497,24.0123,54.91,72,13,9.26
