City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
180,Flekkefjord,NO,52.05,overcast clouds,58.2971,6.6607,Maritim Fjordhotel
181,Yulara,AU,67.84,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
182,Lebowakgomo,ZA,70.7,overcast clouds,-24.2,29.5,Chuene Resort
183,Coquimbo,CL,60.53,few clouds,-29.9533,-71.3436,Punto de encuentro
189,Toowoomba,AU,66.94,broken clouds,-27.55,151.9667,Toowoomba Central Plaza Apartment Hotel
192,Bambous Virieux,MU,74.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
194,Hope,US,65.98,clear sky,33.6671,-93.5916,Best Western Hope
195,Sao Joao Da Barra,BR,73.49,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
196,Hamilton,US,57.83,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
197,Zambezi,ZM,71.71,few clouds,-13.5432,23.1047,Royal Kutachika Lodge
198,State College,US,52.74,clear sky,40.7934,-77.86,Hampton Inn State College
199,Wilmington,US,60.71,overcast clouds,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
207,Guican,CO,53.71,overcast clouds,6.4618,-72.4113,Hotel Brisas del Nevado
209,Uyuni,BO,60.39,clear sky,-20.4597,-66.825,Hostal La Magia de Uyuni
210,Numaligarh,IN,61.07,broken clouds,26.6333,93.75,Mumai Hotel
211,Gualeguaychu,AR,72.03,broken clouds,-33.0094,-58.5172,Hotel Los Angeles
213,Ancud,CL,62.42,few clouds,-41.8697,-73.8203,Hotel Arena Gruesa
219,Camacha,PT,65.16,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
226,Jishou,CN,58.91,light rain,28.3167,109.7167,7 Days Inn
235,Airai,TL,63.84,scattered clouds,-8.9266,125.4092,Juvinal Martin
236,Conceicao Da Barra,BR,71.96,broken clouds,-18.5933,-39.7322,Cricaré Praia Hotel
237,Mount Gambier,AU,51.71,overcast clouds,-37.8333,140.7667,The Commodore
239,Talcher,IN,63.25,scattered clouds,20.95,85.2167,Hotel Green Park
240,Nouadhibou,MR,69.78,clear sky,20.931,-17.0347,El Medina
243,Salalah,OM,74.64,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
246,Sheridan,US,65.66,clear sky,44.8333,-106.9173,Comfort Inn & Suites
249,Inhambane,MZ,73.89,broken clouds,-23.865,35.3833,Oceano
252,Riyadh,SA,68.14,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
254,Tura,IN,61.39,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
256,Saldanha,ZA,53.65,broken clouds,-33.0117,17.9442,Blue Bay Lodge
264,Teguise,ES,64.62,few clouds,29.0605,-13.564,B&B La Casona de Nazaret
267,Opunake,NZ,66.34,broken clouds,-39.4556,173.8583,Walton Cottage
270,North Bend,US,55.17,broken clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
274,Letlhakeng,BW,74.55,light rain,-24.0944,25.0298,fenugreek
280,Maymyo,MM,60.1,clear sky,22.0333,96.4667,Tiger Hotel
281,Najran,SA,63.25,clear sky,17.4924,44.1277,محمد هادي ال فطيح
286,Grand Gaube,MU,74.37,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
287,Sujangarh,IN,71.53,scattered clouds,27.7011,74.4649,Hotel Rich Garden
289,Vao,NC,69.22,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
291,Waipawa,NZ,63.45,overcast clouds,-41.4122,175.5153,Tora Coastal Walk
292,Khandbari,NP,56.86,broken clouds,27.3747,87.2039,Sainik Hotel And Lodge
297,Betul,IN,62.1,broken clouds,21.9153,77.8961,STARiHotel Betul MP
299,Los Llanos De Aridane,ES,67.75,overcast clouds,28.6585,-17.9182,Valle Aridane
301,Buenos Aires,AR,66.78,few clouds,-34.6132,-58.3772,Hotel NH Buenos Aires City
302,Machado,BR,71.85,broken clouds,-21.6747,-45.9197,JC Palace Hotel
303,Mar Del Plata,AR,55.42,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
305,Ada,US,56.01,broken clouds,43.4166,-116.1262,
306,Gravelbourg,CA,55.67,overcast clouds,49.8834,-106.5512,Historic Bishops Residence Bed & Breakfast
311,Dhulian,IN,67.01,clear sky,24.6833,87.9667,D.M BHABAN
319,Roblin,CA,51.55,broken clouds,51.23,-101.3565,Harvest Moon Inn
320,Solwezi,ZM,65.79,broken clouds,-12.1688,26.3894,Country Lodge Solwezi
323,Galveston,US,71.22,clear sky,29.3669,-94.9669,Comfort Inn & Suites Texas City
324,Kaeo,NZ,72.32,clear sky,-35.1,173.7833,Bushido Lodge
325,Nanfeng,CN,72.99,scattered clouds,23.7434,111.7959,Nanfeng Hotel
326,Turayf,SA,59.25,clear sky,31.6725,38.6637,Turaif
329,Angoche,MZ,73.54,clear sky,-16.2325,39.9086,Guest House HESADA
336,Spearfish,US,70.68,clear sky,44.4908,-103.8594,Travelodge by Wyndham Spearfish
341,San Carlos De Bariloche,AR,69.55,scattered clouds,-41.1456,-71.3082,Hotel Patagonia
345,Puerto Madryn,AR,69.66,scattered clouds,-42.7692,-65.0385,Hotel Tolosa
346,Tarabuco,BO,51.31,overcast clouds,-19.1667,-64.9167,
349,Labateca,CO,74.62,broken clouds,7.2985,-72.4944,Ffd
350,Carrigaline,IE,51.01,few clouds,51.8117,-8.3986,Carrigaline Court Hotel
355,San Jose,US,68.43,broken clouds,37.3394,-121.895,The Westin San Jose
359,Rawson,AR,72.48,clear sky,-43.3002,-65.1023,Hosteria Sampedro
363,Fuerte Olimpo,PY,65.77,overcast clouds,-21.0415,-57.8738,Hospedaje DAMI
364,Presidencia Roque Saenz Pena,AR,61.36,overcast clouds,-26.7852,-60.4388,Hotel Aconcagua
365,Kruisfontein,ZA,59.88,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
366,Bure,ET,55.51,light rain,10.7,37.0667,Holiday
368,Kamaishi,JP,51.39,clear sky,39.2667,141.8833,Hotel Route Inn Kamaishi
369,Abha,SA,57.45,clear sky,18.2164,42.5053,Abha Hotel
371,Santiago De Compostela,ES,51.15,clear sky,42.8805,-8.5457,Hotel Cidade de Compostela
375,Zemio,CF,69.71,broken clouds,5.0314,25.1361,OCHA Office
376,Kongwa,TZ,70.3,broken clouds,-6.2,36.4167,Chipsi Feed
377,Lima,PE,66.13,broken clouds,-12.0432,-77.0282,Gran Hotel Bolivar Lima
380,Ponta Delgada,PT,70.5,few clouds,37.7333,-25.6667,Vila Nova Hotel
381,Nahan,IN,58.39,scattered clouds,30.55,77.3,Hotel Heritage Sanyam & Restaurant Ekant
385,San Ramon,US,65.66,few clouds,37.7799,-121.978,San Ramon Marriott
389,Tuatapere,NZ,62.15,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
390,Blytheville,US,63.05,clear sky,35.9273,-89.919,Days Inn by Wyndham Blytheville
391,Ikot Ekpene,NG,74.5,overcast clouds,5.1794,7.7108,Four Points by Sheraton Ikot Ekpene
393,Vadlapudi,IN,73.02,moderate rain,14.3167,79.8,
396,Flinders,AU,67.21,light rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
402,Sarishabari,BD,70.21,clear sky,24.7333,89.8333,Bangali Telecom
405,Margate,GB,55.11,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
408,Masaki,JP,55.31,few clouds,33.7876,132.7112,ホテルファンタジアリゾート
414,Tabuk,PH,73.17,broken clouds,17.4189,121.4443,Golden Berries Hotel and Convention
423,Talcahuano,CL,58.68,broken clouds,-36.7167,-73.1167,departamento comodo
428,Green River,US,63.16,broken clouds,41.5286,-109.4662,Hampton Inn & Suites Green River
429,Gemena,CD,70.9,overcast clouds,3.25,19.7667,Hôtel Goshen
433,Katsuura,JP,59.11,moderate rain,35.1333,140.3,Katsuura Hotel Mikazuki
438,Hiriyur,IN,69.42,scattered clouds,13.9456,76.6192,Royal Inn
439,Maple Creek,CA,53.37,few clouds,49.9168,-109.4848,Willowbend Campground & Cabins
441,Nkowakowa,ZA,69.85,light rain,-23.8878,30.2871,Moytel 966A Guest House & Spa
446,Dalbandin,PK,59.83,scattered clouds,28.8947,64.4101,Gidaan Guest House
450,Port Lincoln,AU,55.62,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
451,Sarankhola,BD,63.32,clear sky,22.3082,89.7897,Red Crescent Cyclone Shelter Rashulpur
452,Kalamnuri,IN,65.82,clear sky,19.6667,77.3333,खंडोबा राव शेषराव गडदे
453,Nara,JP,60.08,overcast clouds,34.6851,135.8049,Guesthouse Nara Komachi
455,Yining,CN,59.29,broken clouds,29.0361,114.5636,Xiushui Hotel
